Остатки по КТ по размерам;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Артикул продавца;Название;Артикул WB;Предмет;Бренд;Размер;Регион;Склад;Доступность;Заказали, шт;Заказали на сумму, ₽;Выкупили, шт;Выкупили на сумму, ₽;Процент выкупа;Заказы в среднем за февраль, шт;Заказы в среднем за март, шт;Общее среднее кол-во заказов, шт;Остатки на текущий день, шт;Стоимость остатков на текущий день, ₽;Остатки впервые зафиксированы на складе WB;Оборачиваемость текущих остатков;Оборачиваемость средних остатков;В пути к покупателю, шт;В пути от покупателя, шт;Текущая цена с учетом скидок, ₽;Время отсутствия товара на складе;Упущенные заказы, шт;Сумма упущенных заказов, ₽;Упущенные выкупы, шт;Сумма упущенных выкупов, ₽
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Приволжский;Новосемейкино;Дефицит;106;68573;50;33189;83;0,56;8,73;4,97;14;8594;> 180 дней назад;2д 17ч;9д 20ч;10;2;614;13д 23ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Южный + Северо-Кавказский;Невинномысск;Дефицит;60;43102;49;35301;88;2,56;1,27;1,86;0;0;> 180 дней назад;0ч;7д 19ч;1;0;614;14д 12ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Коледино;Дефицит;30;20303;18;12414;78;0,89;1,27;1,1;0;0;> 180 дней назад;0ч;5ч;2;0;614;24д 22ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Тула;Дефицит;22;15139;15;10541;83;0,61;1;0,82;0;0;> 180 дней назад;0ч;5ч;2;0;614;25д 11ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Электросталь;Дефицит;18;12674;13;9372;87;0,67;0,55;0,6;0;0;> 180 дней назад;9ч;3ч;1;3;614;27д 3ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Южный + Северо-Кавказский;Краснодар;Дефицит;16;10643;12;7748;80;0,56;0,55;0,55;0;0;> 180 дней назад;10ч;15ч;0;1;614;23д 15ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Приволжский;Пенза WB;Дефицит;7;5099;4;2909;57;0,33;0,09;0,2;0;0;> 180 дней назад;0ч;2д 7ч;0;0;614;24д 18ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Рязань (Тюшевское);Дефицит;6;4100;4;2804;80;0,17;0,27;0,22;0;0;> 180 дней назад;0ч;14ч;1;0;614;27д 9ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Южный + Северо-Кавказский;Волгоград;Дефицит;5;3490;4;2876;100;0,22;0,09;0,15;0;0;> 180 дней назад;0ч;1д 0ч;0;0;614;26д 23ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Дальневосточный + Сибирский;Новосибирск;Дефицит;3;2074;1;730;50;0,11;0,09;0,1;0;0;> 180 дней назад;10ч;14ч;0;1;614;28д 8ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Казахстан;Актобе;Дефицит;1;682;0;0;0;0;0,09;0,05;0;0;> 180 дней назад;0ч;>999д;0;0;614;28д 19ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Воронеж WB;Дефицит;1;719;1;719;100;0,06;0;0,03;0;0;> 180 дней назад;0ч;2ч;1;0;614;28д 23ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Котовск;Дефицит;1;730;1;730;100;0,06;0;0,03;0;0;> 180 дней назад;0ч;3ч;0;0;614;28д 22ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Дальневосточный + Сибирский;Абакан 2;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;1;1;614;Отсутствовал весь период;0;0;0;0
